Jump #,Date,Drop Zone,Aircraft,Gear,Jump Type,Exit Alt,Depl Alt,Altitude Unit,Dist to Target,Delay (s),Cutaway,Notes
320,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
321,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
322,1990-01-29,,,Vector / Fury 220,,4200,4055,Feet,0,3,No,
323,1990-01-29,,,Vector / Fury 220,,3200,2449,Feet,0,7,No,
324,1990-01-29,,,Vector / Fury 220,,3200,2625,Feet,0,6,No,
325,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
326,1990-01-29,,,Vector / Fury 220,,8500,4405,Feet,0,26,No,
327,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
328,1990-01-29,,,Vector / Fury 220,,5500,2200,Feet,0,21,No,
329,1990-01-29,,,Vector / Fury 220,,7500,2200,Feet,0,33,No,
330,1990-01-29,,,Vector / Fury 220,,8500,2200,Feet,0,39,No,
331,1990-01-29,,,Vector / Fury 220,,8500,2200,Feet,0,39,No,
332,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
333,1990-01-29,,,Vector / Fury 220,,8500,2200,Feet,0,39,No,
334,1990-01-29,,,Vector / Fury 220,,4500,2341,Feet,0,15,No,
335,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
336,1990-01-29,,,Vector / Fury 220,,9500,2200,Feet,0,44,No,
337,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
338,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
339,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
340,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
341,1990-01-29,,,Vector / Fury 220,,10500,10436,Feet,0,2,No,
342,1990-01-29,,,Vector / Fury 220,,8000,3377,Feet,0,29,No,
343,1990-01-29,,,Vector / Fury 220,,6000,2200,Feet,0,24,No,
344,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
345,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
346,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
347,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
348,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
349,1990-01-29,,,Vector / Fury 220,,3200,2449,Feet,0,7,No,
350,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
351,1990-01-29,,,Vector / Fury 220,,12500,2200,Feet,0,61,No,
352,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
353,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
354,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
355,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
356,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
357,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
358,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
359,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
360,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
361,1990-01-29,,,Vector / Fury 220,,13200,2200,Feet,0,65,No,
362,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
363,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
364,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
365,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
366,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
367,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
368,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
369,1990-01-29,,,Vector / Fury 220,,12500,2200,Feet,0,61,No,
370,1990-01-29,,,Vector / Fury 220,,5000,2200,Feet,0,19,No,
371,1990-01-29,,,Vector / Fury 220,,15000,2200,Feet,0,75,No,
372,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
373,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
374,1990-01-29,,,Vector / Fury 220,,12500,2200,Feet,0,61,No,
375,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
376,1990-01-29,,,Vector / Fury 220,,9500,2200,Feet,0,44,No,
377,1990-01-29,,,Vector / Fury 220,,11000,2200,Feet,0,53,No,
378,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
379,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
380,1990-01-29,,,Vector / Fury 220,,5500,2200,Feet,0,21,No,
381,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
382,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
383,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
384,1990-01-29,,,Vector / Fury 220,,4000,2200,Feet,0,13,No,
385,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
386,1990-01-29,,,Vector / Fury 220,,8500,2200,Feet,0,39,No,
387,1990-01-29,,,Vector / Fury 220,,7500,2349,Feet,0,32,No,
388,1990-01-29,,,Vector / Fury 220,,9500,2200,Feet,0,44,No,
389,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
390,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
391,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
392,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
393,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
394,1990-01-29,,,Vector / Fury 220,,11000,2200,Feet,0,53,No,
395,1990-01-29,,,Vector / Fury 220,,9500,2200,Feet,0,44,No,
396,1990-01-29,,,Vector / Fury 220,,8500,2200,Feet,0,39,No,
397,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
398,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
399,1990-01-29,,,Vector / Fury 220,,6000,2200,Feet,0,24,No,
400,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
401,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
402,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
403,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
404,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
405,1990-01-29,,,Vector / Fury 220,,7500,2200,Feet,0,33,No,
406,1990-01-29,,,Vector / Fury 220,,6500,2200,Feet,0,27,No,
407,1990-01-29,,,Vector / Fury 220,,6000,2200,Feet,0,24,No,
408,1990-01-29,,,Vector / Fury 220,,6000,2200,Feet,0,24,No,
409,1990-01-29,,,Vector / Fury 220,,9500,2200,Feet,0,44,No,
410,1990-01-29,,,Vector / Fury 220,,5500,2200,Feet,0,21,No,
411,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
412,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
413,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
414,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
415,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
416,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
417,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
418,1990-01-29,,,Vector / Fury 220,,9000,6489,Feet,0,17,No,
419,1990-01-29,,,Vector / Fury 220,,9500,2200,Feet,0,44,No,
420,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
421,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
422,1990-01-29,,,Vector / Fury 220,,3200,2449,Feet,0,7,No,
423,1990-01-29,,,Vector / Fury 220,,7500,2200,Feet,0,33,No,
424,1990-01-29,,,Vector / Fury 220,,3200,2449,Feet,0,7,No,
425,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
426,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
427,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
428,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
429,1990-01-29,,,Vector / Fury 220,,10500,2200,Feet,0,50,No,
430,1990-01-29,,,Vector / Fury 220,,9500,2200,Feet,0,44,No,
431,1990-01-29,,,Vector / Fury 220,,4500,2517,Feet,0,14,No,
432,1990-01-29,,,Vector / Fury 220,,11500,2200,Feet,0,56,No,
433,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
434,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
435,1990-01-29,,,Vector / Fury 220,,10500,2200,Feet,0,50,No,
436,1990-01-29,,,Vector / Fury 220,,10500,2200,Feet,0,50,No,
437,1990-01-29,,,Vector / Fury 220,,5500,2200,Feet,0,21,No,
438,1990-01-29,,,Vector / Fury 220,,3200,3200,Feet,0,0,No,
439,1990-01-29,,,Vector / Fury 220,,11000,2200,Feet,0,53,No,
440,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
441,1990-01-29,,,Vector / Fury 220,,8000,2200,Feet,0,36,No,
442,1990-01-29,,,Vector / Fury 220,,10500,2200,Feet,0,50,No,
443,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
444,1990-01-29,,,Vector / Fury 220,,9500,9436,Feet,0,2,No,
445,1990-01-29,,,Vector / Fury 220,,9000,8936,Feet,0,2,No,
446,1990-01-29,,,Vector / Fury 220,,10000,9936,Feet,0,2,No,
447,1990-01-29,,,Vector / Fury 220,,10500,2200,Feet,0,50,No,
448,1990-01-29,,,Vector / Fury 220,,4500,4436,Feet,0,2,No,
449,1990-01-29,,,Vector / Fury 220,,9000,8936,Feet,0,2,No,
450,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
451,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
452,1990-01-29,,,Vector / Fury 220,,9000,8936,Feet,0,2,No,
453,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
454,1990-01-29,,,Vector / Fury 220,,6000,2200,Feet,0,24,No,
455,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
456,1990-01-29,,,Vector / Fury 220,,9500,2200,Feet,0,44,No,
457,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
458,1990-01-29,,,Vector / Fury 220,,10500,2200,Feet,0,50,No,
459,1990-01-29,,,Vector / Fury 220,,5000,2200,Feet,0,19,No,
460,1990-01-29,,,Vector / Fury 220,,4000,2200,Feet,0,13,No,
461,1990-01-29,,,Vector / Fury 220,,10500,2200,Feet,0,50,No,
462,1990-01-29,,,Vector / Fury 220,,11000,2200,Feet,0,53,No,
463,1990-01-29,,,Vector / Fury 220,,10500,2200,Feet,0,50,No,
464,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
465,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
466,1990-01-29,,,Vector / Fury 220,,10500,2200,Feet,0,50,No,
467,1990-01-29,,,Vector / Fury 220,,13700,2200,Feet,0,68,No,
468,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
469,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
470,1990-01-29,,,Vector / Fury 220,,14000,2200,Feet,0,70,No,
471,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
472,1990-01-29,,,Vector / Fury 220,,4000,2200,Feet,0,13,No,
473,1990-01-29,,,Vector / Fury 220,,2000,1936,Feet,0,2,No,
474,1990-01-29,,,Vector / Fury 220,,9500,2200,Feet,0,44,No,
475,1990-01-29,,,Vector / Fury 220,,3200,2273,Feet,0,8,No,
476,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
477,1990-01-29,,,Vector / Fury 220,,3200,2449,Feet,0,7,No,
478,1990-01-29,,,Vector / Fury 220,,4500,2200,Feet,0,16,No,
479,1990-01-29,,,Vector / Fury 220,,5000,2665,Feet,0,16,No,
480,1990-01-29,,,Vector / Fury 220,,3500,2221,Feet,0,10,No,
481,1990-01-29,,,Vector / Fury 220,,4500,2200,Feet,0,16,No,
482,1990-01-29,,,Vector / Fury 220,,12500,2200,Feet,0,61,No,
483,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
484,1990-01-29,,,Vector / Fury 220,,12500,2200,Feet,0,61,No,
485,1990-01-29,,,Vector / Fury 220,,13500,2200,Feet,0,67,No,
486,1990-01-29,,,Vector / Fury 220,,12500,2200,Feet,0,61,No,
487,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
488,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
489,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
490,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
491,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
492,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
493,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
494,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
495,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
496,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
497,1990-01-29,,,Vector / Fury 220,,13000,2200,Feet,0,64,No,
498,1990-01-29,,,Vector / Fury 220,,3500,2573,Feet,0,8,No,
499,1990-01-29,,,Vector / Fury 220,,9000,2200,Feet,0,41,No,
500,1990-01-29,,,Vector / Fury 220,,10000,2200,Feet,0,47,No,
501,1990-01-29,,,Racer / Sabre 170,,2000,1936,Feet,0,2,No,
502,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
503,1990-01-29,,,Racer / Sabre 170,,3200,2449,Feet,0,7,No,
504,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
505,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
506,1990-01-29,,,Racer / Sabre 170,,10500,2200,Feet,0,50,No,
507,1990-01-29,,,Racer / Sabre 170,,7500,2200,Feet,0,33,No,
508,1990-01-29,,,Racer / Sabre 170,,6500,2200,Feet,0,27,No,
509,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
510,1990-01-29,,,Racer / Sabre 170,,8500,2200,Feet,0,39,No,
511,1990-01-29,,,Racer / Sabre 170,,4000,2200,Feet,0,13,No,
512,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
513,1990-01-29,,,Racer / Sabre 170,,5000,2200,Feet,0,19,No,
514,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
515,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
516,1990-01-29,,,Racer / Sabre 170,,3500,2221,Feet,0,10,No,
517,1990-01-29,,,Racer / Sabre 170,,3200,2273,Feet,0,8,No,
518,1990-01-29,,,Racer / Sabre 170,,8000,2200,Feet,0,36,No,
519,1990-01-29,,,Racer / Sabre 170,,9500,2200,Feet,0,44,No,
520,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
521,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
522,1990-01-29,,,Racer / Sabre 170,,11000,2505,Feet,0,51,No,
523,1990-01-29,,,Racer / Sabre 170,,5500,2200,Feet,0,21,No,
524,1990-01-29,,,Racer / Sabre 170,,8000,2200,Feet,0,36,No,
525,1990-01-29,,,Racer / Sabre 170,,5500,2200,Feet,0,21,No,
526,1990-01-29,,,Racer / Sabre 170,,8500,2200,Feet,0,39,No,
527,1990-01-29,,,Racer / Sabre 170,,9500,2200,Feet,0,44,No,
528,1990-01-29,,,Racer / Sabre 170,,5000,2665,Feet,0,16,No,
529,1990-01-29,,,Racer / Sabre 170,,7000,2200,Feet,0,30,No,
530,1990-01-29,,,Racer / Sabre 170,,5000,2841,Feet,0,15,No,
531,1990-01-29,,,Racer / Sabre 170,,8000,2200,Feet,0,36,No,
532,1990-01-29,,,Racer / Sabre 170,,7500,2200,Feet,0,33,No,
533,1990-01-29,,,Racer / Sabre 170,,3000,2200,Feet,0,7,No,
534,1990-01-29,,,Racer / Sabre 170,,4500,2200,Feet,0,16,No,
535,1990-01-29,,,Racer / Sabre 170,,6500,2200,Feet,0,27,No,
536,1990-01-29,,,Racer / Sabre 170,,10500,2200,Feet,0,50,No,
537,1990-01-29,,,Racer / Sabre 170,,8000,2200,Feet,0,36,No,
538,1990-01-29,,,Racer / Sabre 170,,7500,2200,Feet,0,33,No,
539,1990-01-29,,,Racer / Sabre 170,,2200,2055,Feet,0,3,No,
540,1990-01-29,,,Racer / Sabre 170,,2500,2355,Feet,0,3,No,
541,1990-01-29,,,Racer / Sabre 170,,3200,2200,Feet,0,8,No,
542,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
543,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
544,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
545,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
546,1990-01-29,,,Racer / Sabre 170,,5000,2665,Feet,0,16,No,
547,1990-01-29,,,Racer / Sabre 170,,3500,2573,Feet,0,8,No,
548,1990-01-29,,,Racer / Sabre 170,,3200,2798,Feet,0,5,No,
549,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
550,1990-01-29,,,Racer / Sabre 170,,11500,2200,Feet,0,56,No,
551,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
552,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
553,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
554,1990-01-29,,,Racer / Sabre 170,,5200,2200,Feet,0,20,No,
555,1990-01-29,,,Racer / Sabre 170,,5000,2200,Feet,0,19,No,
556,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
557,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
558,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
559,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
560,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
561,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
562,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
563,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
564,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
565,1990-01-29,,,Racer / Sabre 170,,5000,3193,Feet,0,13,No,
566,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
567,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
568,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
569,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
570,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
571,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
572,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
573,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
574,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
575,1990-01-29,,,Racer / Sabre 170,,11500,2200,Feet,0,56,No,
576,1990-01-29,,,Racer / Sabre 170,,6500,2200,Feet,0,27,No,
577,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
578,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
579,1990-01-29,,,Racer / Sabre 170,,13500,10109,Feet,0,22,No,
580,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
581,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
582,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
583,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
584,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
585,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
586,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
587,1990-01-29,,,Racer / Sabre 170,,7000,2200,Feet,0,30,No,
588,1990-01-29,,,Racer / Sabre 170,,3200,2449,Feet,0,7,No,
589,1990-01-29,,,Racer / Sabre 170,,3200,2449,Feet,0,7,No,
590,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
591,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
592,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
593,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
594,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
595,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
596,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
597,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
598,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
599,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
600,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
601,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
602,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
603,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
604,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
605,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
606,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
607,1990-01-29,,,Racer / Sabre 170,,15000,2200,Feet,0,75,No,
608,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
609,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
610,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
611,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
612,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
613,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
614,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
615,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
616,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
617,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
618,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
619,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
620,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
621,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
622,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
623,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
624,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
625,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
626,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
627,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
628,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
629,1990-01-29,,,Racer / Sabre 170,,13000,2200,Feet,0,64,No,
630,1990-01-29,,,Racer / Sabre 170,,13000,2200,Feet,0,64,No,
631,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
632,1990-01-29,,,Racer / Sabre 170,,5000,2200,Feet,0,19,No,
633,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
634,1990-01-29,,,Racer / Sabre 170,,7500,2200,Feet,0,33,No,
635,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
636,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
637,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
638,1990-01-29,,,Racer / Sabre 170,,7000,2200,Feet,0,30,No,
639,1990-01-29,,,Racer / Sabre 170,,7000,2200,Feet,0,30,No,
640,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
641,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
642,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
643,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
644,1990-01-29,,,Racer / Sabre 170,,3500,2200,Feet,0,10,No,
645,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
646,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
647,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
648,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
649,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
650,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
651,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
652,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
653,1990-01-29,,,Racer / Sabre 170,,2000,1936,Feet,0,2,No,
654,1990-01-29,,,Racer / Sabre 170,,3500,2221,Feet,0,10,No,
655,1990-01-29,,,Racer / Sabre 170,,3500,2221,Feet,0,10,No,
656,1990-01-29,,,Racer / Sabre 170,,5000,4936,Feet,0,2,No,
657,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
658,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
659,1990-01-29,,,Racer / Sabre 170,,9500,2200,Feet,0,44,No,
660,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
661,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
662,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
663,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
664,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
665,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
666,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
667,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
668,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
669,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
670,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
671,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
