3500 0
3200 0
3200 0
3200 0
3500 0
3800 3
3500 5
4500 -3200
4500 -3200
5000 -3200
6000 -2300
7500 -3200
8000 -3200
10000 -3200
8500 -3200
10000 -2600
10000 45
8000 25
8000 25
8000 30
7000 20
10000 45
3500 5
6000 5
3500 5
6000 17
3500 5
7000 23
7500 23
8500 35
8000 30
12500 65
12500 55
12500 55
12500 65
12500 65
12500 65
12500 65
12500 65
12500 65
12500 65
12500 65
12500 65
12500 65
12500 65
12500 62
12500 62
12500 62
12500 62
12500 62
12500 62
12500 62
11000 55
12500 62
12500 60
12500 60
12500 65
12500 65
12500 65
5200 14
12500 62
12500 62
12500 62
12500 30
8000 35
8000 35
7500 32
8000 35
9000 40
9000 40
3000 3
8000 35
8000 35
9000 40
7500 5
9000 40
9000 40
8000 34
8000 4
9000 40
3000 3
7500 30
7500 30
9500 43
9500 43
8500 19
8000 34
8500 37
6000 22
9500 43
9000 40
5500 22
9000 40
9000 40
10000 46
10000 46
3000 7
3500 8
7000 28
9000 31
9000 40
9000 43
10000 49
8000 37
4000 13
8000 37
4000 13
7000 30
4000 13
7000 30
7500 33
7500 33
9000 43
11000 55
9000 46
6000 24
6500 27
8000 37
9000 43
4200 14
12500 62
12500 62
12500 62
12500 60
6000 22
8000 37
6000 22
8000 37
8000 37
12500 62
12500 62
14000 62
10000 45
9500 42
9500 37
8000 33
5500 20
9000 42
3500 8
9000 45
9000 45
3200 5
10000 50
10000 50
4000 12
4000 12
10000 22
3200 0
5000 15
9000 42
7000 5
3200 6
3000 0
5000 17
8000 37
7000 1
8000 37
9000 45
10000 51
7000 26
5000 13
9000 45
9000 45
9000 45
3200 5
9000 45
6000 26
9000 45
9000 45
13000 70
13000 70
13500 73
12500 67
13000 70
10000 52
14000 76
13500 73
9000 45
8000 39
4000 13
8000 39
10000 51
3500 10
3200 9
8000 39
10000 51
9000 45
3500 10
3200 8
13000 70
13000 70
13500 73
13000 70
13500 73
13500 73
13500 73
13500 73
4000 5
6000 26
7000 32
9000 45
9500 48
4000 13
3200 8
9000 45
9000 45
7000 3
9000 45
9000 45
8000 39
8500 42
8500 3
8000 3
8500 3
7000 2
3000 5
8000 2
3200 7
8000 2
7000 33
12500 67
13000 70
13000 70
13000 70
13500 73
12500 67
12500 67
12500 67
12500 67
13000 70
12500 67
14000 76
12500 67
9000 45
9000 45
3200 8
3500 8
3500 10
14000 76
13500 73
13000 70
13500 73
13500 73
13500 73
13000 70
13000 70
13000 70
13000 70
13500 73
13000 70
6500 29
9000 45
8000 40
3200 8
9000 45
9000 45
9000 45
9000 45
3500 10
3200 8
10000 5
10000 51
3500 10
3500 10
9000 45
9000 45
10000 51
5000 20
